Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
316,M35-39,39,M,Danville,NH,7:01,06:46.8,6:47,2:57,2:11,1 mile,1/1/2019
317,M40-44,44,M,Londonderry,NH,7:03,06:47.0,6:47,2:57,2:32,1 mile,1/1/2019
318,M40-44,44,M,Hudson,NH,6:53,06:47.4,6:48,2:58,2:33,1 mile,1/1/2019
319,F40-44,42,F,Dunbarton,NH,6:55,06:47.4,6:48,2:58,1:01,1 mile,1/1/2019
320,M55-59,57,M,Manchester,NH,6:57,06:47.7,6:48,2:58,1:31,1 mile,1/1/2019
321,F13-19,14,F,Henniker,NH,6:56,06:47.8,6:48,2:58,1:44,1 mile,1/1/2019
322,F40-44,42,F,Waban,MA,7:01,06:47.9,6:48,2:58,1:01,1 mile,1/1/2019
323,F45-49,45,F,Londonderry,NH,6:54,06:48.0,6:48,2:58,0:14,1 mile,1/1/2019
324,M13-19,15,M,Litchfield,NH,6:51,06:49.2,6:50,3:00,2:44,1 mile,1/1/2019
325,M25-29,28,M,Manchester,NH,6:57,06:49.2,6:50,3:00,2:29,1 mile,1/1/2019
326,M45-49,48,M,Manchester,NH,7:00,06:49.2,6:50,3:00,2:22,1 mile,1/1/2019
327,M35-39,38,M,Merrimack,NH,7:01,06:49.3,6:50,3:00,2:14,1 mile,1/1/2019
328,M13-19,15,M,Derry,NH,6:58,06:49.5,6:50,3:00,2:44,1 mile,1/1/2019
329,F35-39,36,F,Nottingham,NH,6:55,06:49.9,6:50,3:00,1:27,1 mile,1/1/2019
330,F13-19,16,F,Londonderry,NH,7:09,06:50.5,6:51,3:01,1:47,1 mile,1/1/2019
331,M55-59,55,M,Londonderry,NH,7:09,06:50.5,6:51,3:01,1:34,1 mile,1/1/2019
332,M40-44,42,M,Center Ossipee,NH,7:07,06:50.7,6:51,3:01,2:36,1 mile,1/1/2019
333,M55-59,58,M,Londonderry,NH,7:06,06:50.8,6:51,3:01,1:34,1 mile,1/1/2019
334,M13-19,13,M,Goffstown,NH,7:05,06:50.9,6:51,3:01,2:45,1 mile,1/1/2019
335,F35-39,38,F,Andover,MA,7:13,06:51.4,6:52,3:02,1:29,1 mile,1/1/2019
336,M65-69,65,M,Derry,NH,7:01,06:51.9,6:52,3:02,1:13,1 mile,1/1/2019
337,F40-44,42,F,Chester,NH,6:57,06:52.0,6:52,3:02,1:05,1 mile,1/1/2019
338,F9,9,F,Fremont,NH,6:54,06:52.1,6:53,3:03,0:16,1 mile,1/1/2019
339,F40-44,42,F,New Ipswich,NH,7:01,06:52.6,6:53,3:03,1:06,1 mile,1/1/2019
340,F13-19,15,F,Westford,MA,6:58,06:52.7,6:53,3:03,1:49,1 mile,1/1/2019
