Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
512,F50-54,51,F,Groton,MA,8:23,07:30.6,7:31,3:41,1:42,1 mile,1/1/2019
513,M50-54,51,M,Bedford,NH,7:50,07:30.9,7:31,3:41,2:57,1 mile,1/1/2019
514,M11,11,M,New Boston,NH,8:12,07:30.9,7:31,3:41,2:08,1 mile,1/1/2019
515,F50-54,50,F,Manchester,NH,7:50,07:31.4,7:32,3:42,1:43,1 mile,1/1/2019
516,M30-34,30,M,Manchester,NH,7:49,07:31.4,7:32,3:42,3:18,1 mile,1/1/2019
517,M13-19,19,M,Billerica,MA,8:00,07:33.3,7:34,3:44,3:28,1 mile,1/1/2019
518,F25-29,28,F,Manchester,NH,7:48,07:33.4,7:34,3:44,2:30,1 mile,1/1/2019
519,M50-54,53,M,Londonderry,NH,8:03,07:33.5,7:34,3:44,3:00,1 mile,1/1/2019
520,M20-24,24,M,Windham,NH,8:01,07:33.5,7:34,3:44,3:20,1 mile,1/1/2019
521,F40-44,40,F,Bedford,NH,7:47,07:33.8,7:34,3:44,1:47,1 mile,1/1/2019
522,F35-39,36,F,Manchester,NH,8:11,07:34.0,7:34,3:44,2:11,1 mile,1/1/2019
523,F50-54,52,F,Milford,NH,8:00,07:34.3,7:35,3:45,1:46,1 mile,1/1/2019
524,F45-49,45,F,Londonderry,NH,7:58,07:34.7,7:35,3:45,1:01,1 mile,1/1/2019
525,F7,7,F,Chester,NH,7:44,07:34.7,7:35,3:45,0:10,1 mile,1/1/2019
526,M40-44,43,M,Chester,NH,7:44,07:34.7,7:35,3:45,3:20,1 mile,1/1/2019
527,F45-49,45,F,"Manchester, Nh",NH,7:50,07:34.8,7:35,3:45,1:01,1 mile,1/1/2019
528,M50-54,50,M,Manchester,NH,7:59,07:34.9,7:35,3:45,3:01,1 mile,1/1/2019
529,F35-39,39,F,Londonderry,NH,8:18,07:35.0,7:35,3:45,2:12,1 mile,1/1/2019
530,F45-49,46,F,Londonderry,NH,8:01,07:35.2,7:36,3:46,1:02,1 mile,1/1/2019
531,F11,11,F,Londonderry,NH,8:00,07:35.3,7:36,3:46,2:14,1 mile,1/1/2019
532,F60-64,60,F,Windham,NH,7:46,07:35.3,7:36,3:46,0:22,1 mile,1/1/2019
533,F30-34,34,F,Londonderry,NH,8:00,07:35.4,7:36,3:46,2:23,1 mile,1/1/2019
534,F45-49,49,F,Manchester,NH,7:55,07:35.5,7:36,3:46,1:02,1 mile,1/1/2019
535,F60-64,60,F,Burlington,MA,7:40,07:35.6,7:36,3:46,0:22,1 mile,1/1/2019
536,M55-59,58,M,Londonderry,NH,7:59,07:35.9,7:36,3:46,2:19,1 mile,1/1/2019
537,F40-44,41,F,Goffstown,NH,9:10,07:35.9,7:36,3:46,1:49,1 mile,1/1/2019
538,M55-59,59,M,Mont Vernon,NH,7:57,07:36.0,7:36,3:46,2:19,1 mile,1/1/2019
539,M35-39,36,M,Belmont,NH,8:21,07:36.2,7:37,3:47,3:01,1 mile,1/1/2019
540,F55-59,58,F,Bow,NH,7:59,07:36.4,7:37,3:47,1:42,1 mile,1/1/2019
541,F25-29,26,F,Dover,NH,7:59,07:36.4,7:37,3:47,2:33,1 mile,1/1/2019
542,F40-44,44,F,Merrimack,NH,7:59,07:36.7,7:37,3:47,1:50,1 mile,1/1/2019
543,F40-44,40,F,Hollis,NH,7:54,07:36.8,7:37,3:47,1:50,1 mile,1/1/2019
544,F30-34,34,F,Goffstown,NH,7:41,07:36.8,7:37,3:47,2:24,1 mile,1/1/2019
545,M6,6,M,Chelmsford,MA,8:11,07:37.1,7:38,3:48,Winner,1 mile,1/1/2019
546,M11,11,M,Hollis,NH,7:55,07:37.3,7:38,3:48,2:15,1 mile,1/1/2019
547,F55-59,57,F,Nashua,NH,7:56,07:37.6,7:38,3:48,1:43,1 mile,1/1/2019
548,F40-44,44,F,Amherst,NH,7:49,07:37.7,7:38,3:48,1:51,1 mile,1/1/2019
549,M60-64,61,M,Bedford,NH,7:58,07:37.7,7:38,3:48,2:02,1 mile,1/1/2019
550,M55-59,58,M,Peterborough,NH,8:07,07:37.8,7:38,3:48,2:21,1 mile,1/1/2019
551,M13-19,13,M,Amherst,NH,7:49,07:37.9,7:38,3:48,3:32,1 mile,1/1/2019
552,M40-44,44,M,Hudson,NH,7:58,07:38.2,7:39,3:49,3:24,1 mile,1/1/2019
553,M45-49,47,M,Keene,NH,7:52,07:38.3,7:39,3:49,3:11,1 mile,1/1/2019
554,F35-39,38,F,Epsom,NH,8:01,07:38.4,7:39,3:49,2:16,1 mile,1/1/2019
555,F13-19,14,F,Londonderry,NH,7:53,07:38.5,7:39,3:49,2:35,1 mile,1/1/2019
556,M9,9,M,Bow,NH,8:46,07:38.6,7:39,3:49,2:04,1 mile,1/1/2019
557,M55-59,57,M,Woburn,MA,7:43,07:38.9,7:39,3:49,2:22,1 mile,1/1/2019
558,M50-54,53,M,Manchester,NH,7:57,07:39.1,7:40,3:50,3:06,1 mile,1/1/2019
559,M50-54,52,M,Bow,NH,8:47,07:39.6,7:40,3:50,3:06,1 mile,1/1/2019
560,F45-49,49,F,Laconia,NH,7:53,07:40.4,7:41,3:51,1:07,1 mile,1/1/2019
561,F45-49,46,F,Derry,NH,7:51,07:40.5,7:41,3:51,1:07,1 mile,1/1/2019
562,F25-29,26,F,Nashua,NH,8:00,07:40.7,7:41,3:51,2:37,1 mile,1/1/2019
563,F11,11,F,Amherst,NH,7:52,07:41.0,7:41,3:51,2:19,1 mile,1/1/2019
564,F13-19,17,F,Concord,NH,7:56,07:41.0,7:41,3:51,2:37,1 mile,1/1/2019
565,F35-39,36,F,Weare,NH,7:49,07:41.4,7:42,3:52,2:19,1 mile,1/1/2019
566,M30-34,32,M,Brookline,NH,8:51,07:41.7,7:42,3:52,3:28,1 mile,1/1/2019
567,F40-44,42,F,Nashua,NH,7:53,07:41.9,7:42,3:52,1:55,1 mile,1/1/2019
568,F30-34,32,F,Laconia,NH,7:51,07:43.4,7:44,3:54,2:31,1 mile,1/1/2019
569,F55-59,55,F,Londonderry,NH,8:05,07:43.9,7:44,3:54,1:49,1 mile,1/1/2019
570,F35-39,36,F,Sandown,NH,8:08,07:44.0,7:44,3:54,2:21,1 mile,1/1/2019
571,F30-34,30,F,Brookline,NH,8:48,07:44.0,7:44,3:54,2:31,1 mile,1/1/2019
572,M40-44,44,M,Litchfield,NH,8:05,07:44.1,7:45,3:55,3:30,1 mile,1/1/2019
573,F60-64,60,F,Manchester,NH,7:50,07:44.2,7:45,3:55,0:31,1 mile,1/1/2019
574,F35-39,35,F,Merrimack,NH,8:19,07:44.2,7:45,3:55,2:22,1 mile,1/1/2019
575,F25-29,27,F,Manchester,NH,7:53,07:44.6,7:45,3:55,2:41,1 mile,1/1/2019
576,F40-44,44,F,Weare,NH,8:09,07:45.0,7:45,3:55,1:58,1 mile,1/1/2019
577,F8,8,F,Londonderry,NH,7:53,07:45.0,7:45,3:55,2:06,1 mile,1/1/2019
578,F13-19,15,F,Manchester,NH,8:12,07:45.0,7:45,3:55,2:41,1 mile,1/1/2019
579,M13-19,13,M,Manchester,NH,8:04,07:45.3,7:46,3:56,3:40,1 mile,1/1/2019
580,F50-54,53,F,Derry,NH,8:13,07:45.8,7:46,3:56,1:57,1 mile,1/1/2019
581,M45-49,48,M,Laconia,NH,7:58,07:45.9,7:46,3:56,3:18,1 mile,1/1/2019
582,F55-59,58,F,Bedford,NH,8:00,07:46.3,7:47,3:57,1:52,1 mile,1/1/2019
583,F40-44,42,F,Bedford,NH,8:00,07:46.3,7:47,3:57,2:00,1 mile,1/1/2019
584,F55-59,57,F,Gilsum,NH,8:19,07:47.3,7:48,3:58,1:53,1 mile,1/1/2019
585,M45-49,47,M,Bedford,NH,8:02,07:48.4,7:49,3:59,3:21,1 mile,1/1/2019
586,F40-44,43,F,Goffstown,NH,8:13,07:48.7,7:49,3:59,2:02,1 mile,1/1/2019
587,M40-44,44,M,Bedford,NH,8:22,07:48.7,7:49,3:59,3:34,1 mile,1/1/2019
588,M13-19,19,M,Litchfield,NH,8:09,07:49.3,7:50,4:00,3:44,1 mile,1/1/2019
589,M45-49,48,M,Fremont,NH,8:00,07:49.3,7:50,4:00,3:22,1 mile,1/1/2019
590,F30-34,31,F,Merrimack,NH,8:25,07:49.4,7:50,4:00,2:37,1 mile,1/1/2019
591,M13-19,16,M,Nashua,NH,8:20,07:49.4,7:50,4:00,3:44,1 mile,1/1/2019
592,F60-64,61,F,Gilford,NH,8:03,07:49.7,7:50,4:00,0:36,1 mile,1/1/2019
593,F8,8,F,Windham,NH,8:16,07:49.9,7:50,4:00,2:11,1 mile,1/1/2019
594,F35-39,38,F,Deerfield,NH,8:13,07:50.0,7:50,4:00,2:27,1 mile,1/1/2019
595,F50-54,53,F,Haverhill,MA,8:18,07:50.1,7:51,4:01,2:02,1 mile,1/1/2019
596,F45-49,49,F,Westminster,MA,8:33,07:50.2,7:51,4:01,1:17,1 mile,1/1/2019
597,M30-34,30,M,Wakefield,MA,8:14,07:50.4,7:51,4:01,3:37,1 mile,1/1/2019
598,M60-64,60,M,Amherst,NH,8:24,07:50.5,7:51,4:01,2:15,1 mile,1/1/2019
599,M35-39,39,M,New Boston,NH,8:01,07:50.6,7:51,4:01,3:15,1 mile,1/1/2019
600,F40-44,41,F,Manchester,NH,8:18,07:50.6,7:51,4:01,2:04,1 mile,1/1/2019
601,F55-59,56,F,Amherst,NH,8:23,07:50.8,7:51,4:01,1:56,1 mile,1/1/2019
602,M50-54,53,M,Stow,MA,8:14,07:50.8,7:51,4:01,3:17,1 mile,1/1/2019
603,F55-59,55,F,Nashua,NH,8:13,07:50.9,7:51,4:01,1:56,1 mile,1/1/2019
604,M9,9,M,New Boston,NH,8:02,07:50.9,7:51,4:01,2:16,1 mile,1/1/2019
605,M30-34,30,M,Manchester,NH,8:27,07:50.9,7:51,4:01,3:37,1 mile,1/1/2019
606,M55-59,56,M,Charlestown,NH,8:20,07:50.9,7:51,4:01,2:34,1 mile,1/1/2019
607,F50-54,53,F,Stow,MA,8:13,07:51.0,7:51,4:01,2:02,1 mile,1/1/2019
608,F20-24,24,F,Manchester,NH,8:27,07:51.0,7:51,4:01,2:34,1 mile,1/1/2019
609,F45-49,48,F,Amherst,NH,8:24,07:51.3,7:52,4:02,1:18,1 mile,1/1/2019
610,F20-24,20,F,Pelham,NH,8:21,07:51.8,7:52,4:02,2:35,1 mile,1/1/2019
611,M13-19,14,M,Litchfield,NH,8:12,07:52.2,7:53,4:03,3:47,1 mile,1/1/2019
612,F35-39,36,F,Center Harbor,NH,8:05,07:52.2,7:53,4:03,2:30,1 mile,1/1/2019
613,F45-49,47,F,Hudson,NH,8:26,07:52.8,7:53,4:03,1:19,1 mile,1/1/2019
614,F45-49,47,F,Merrimack,NH,8:23,07:52.9,7:53,4:03,1:19,1 mile,1/1/2019
615,F40-44,41,F,Londonderry,NH,8:15,07:53.0,7:53,4:03,2:06,1 mile,1/1/2019
616,M45-49,47,M,Londonderry,NH,8:37,07:53.1,7:54,4:04,3:26,1 mile,1/1/2019
617,F13-19,16,F,Bow,NH,8:05,07:53.7,7:54,4:04,2:50,1 mile,1/1/2019
618,M45-49,47,M,Manchester,NH,8:19,07:53.8,7:54,4:04,3:26,1 mile,1/1/2019
619,F10,10,F,Londonderry,NH,8:06,07:54.2,7:55,4:05,1:12,1 mile,1/1/2019
620,F45-49,48,F,Windham,NH,8:11,07:54.2,7:55,4:05,1:21,1 mile,1/1/2019
621,F30-34,34,F,Auburn,NH,8:37,07:54.8,7:55,4:05,2:42,1 mile,1/1/2019
622,F35-39,39,F,Madison,CT,8:22,07:55.0,7:55,4:05,2:32,1 mile,1/1/2019
623,F45-49,48,F,Lexington,MA,8:28,07:55.3,7:56,4:06,1:22,1 mile,1/1/2019
624,F11,11,F,Hooksett,NH,8:12,07:55.3,7:56,4:06,2:34,1 mile,1/1/2019
625,M65-69,66,M,Bedford,NH,8:47,07:55.5,7:56,4:06,2:17,1 mile,1/1/2019
626,M35-39,39,M,Nashua,NH,8:39,07:55.5,7:56,4:06,3:20,1 mile,1/1/2019
627,F45-49,47,F,Danville,NH,8:01,07:55.6,7:56,4:06,1:22,1 mile,1/1/2019
628,M65-69,66,M,Windham,NH,8:08,07:55.9,7:56,4:06,2:17,1 mile,1/1/2019
629,M55-59,57,M,Westminster,MA,8:40,07:56.0,7:56,4:06,2:39,1 mile,1/1/2019
630,F45-49,45,F,Deerfield,NH,8:20,07:56.2,7:57,4:07,1:23,1 mile,1/1/2019
631,F7,7,F,Nashua,NH,8:39,07:56.7,7:57,4:07,0:32,1 mile,1/1/2019
632,F30-34,33,F,Hudson,NH,8:37,07:57.0,7:57,4:07,2:44,1 mile,1/1/2019
633,F35-39,37,F,Litchfield,NH,8:17,07:58.0,7:58,4:08,2:35,1 mile,1/1/2019
634,M55-59,55,M,Wilmot,NH,8:31,07:58.0,7:58,4:08,2:41,1 mile,1/1/2019
635,M20-24,21,M,Henniker,NH,8:28,07:58.9,7:59,4:09,3:45,1 mile,1/1/2019
636,M6,6,M,Londonderry,NH,8:30,07:59.0,7:59,4:09,0:21,1 mile,1/1/2019
637,F30-34,31,F,Concord,NH,8:14,07:59.2,8:00,4:10,2:47,1 mile,1/1/2019
638,F30-34,33,F,Chichester,NH,8:15,07:59.2,8:00,4:10,2:47,1 mile,1/1/2019
639,F45-49,47,F,Londonderry,NH,8:10,07:59.3,8:00,4:10,1:26,1 mile,1/1/2019
640,F25-29,26,F,Nashua,NH,8:27,07:59.5,8:00,4:10,2:56,1 mile,1/1/2019
641,F13-19,15,F,Manchester,NH,8:20,07:59.8,8:00,4:10,2:56,1 mile,1/1/2019
642,M20-24,21,M,Windham,NH,8:52,07:59.9,8:00,4:10,3:46,1 mile,1/1/2019
643,F30-34,31,F,Nashua,NH,8:18,08:00.1,8:01,4:11,2:48,1 mile,1/1/2019
644,F50-54,53,F,Hudson,NH,8:38,08:00.4,8:01,4:11,2:12,1 mile,1/1/2019
645,M55-59,57,M,Derry,NH,8:46,08:00.4,8:01,4:11,2:44,1 mile,1/1/2019
646,M30-34,34,M,Epping,NH,8:20,08:00.4,8:01,4:11,3:47,1 mile,1/1/2019
647,M25-29,25,M,Concord,NH,8:01,08:00.5,8:01,4:11,3:40,1 mile,1/1/2019
648,F55-59,56,F,Nashua,NH,8:39,08:00.7,8:01,4:11,2:06,1 mile,1/1/2019
649,F11,11,F,Epsom,NH,8:08,08:01.0,8:01,4:11,2:39,1 mile,1/1/2019
650,F20-24,20,F,Nashua,NH,8:06,08:01.3,8:02,4:12,2:45,1 mile,1/1/2019
651,M55-59,58,M,Manchester,NH,8:25,08:01.5,8:02,4:12,2:45,1 mile,1/1/2019
652,F25-29,26,F,Hooksett,NH,8:17,08:01.7,8:02,4:12,2:58,1 mile,1/1/2019
653,F45-49,45,F,Hooksett,NH,8:19,08:01.8,8:02,4:12,1:28,1 mile,1/1/2019
654,F25-29,25,F,Amherst,NH,8:57,08:01.8,8:02,4:12,2:58,1 mile,1/1/2019
655,M30-34,34,M,Amherst,NH,8:57,08:02.2,8:03,4:13,3:49,1 mile,1/1/2019
656,F11,11,F,Hooksett,NH,8:20,08:03.2,8:04,4:14,2:42,1 mile,1/1/2019
657,F35-39,35,F,Waltham,MA,8:06,08:03.3,8:04,4:14,2:41,1 mile,1/1/2019
658,F25-29,27,F,Gilmnaton,NH,8:17,08:04.0,8:04,4:14,3:00,1 mile,1/1/2019
659,F20-24,23,F,Londonderry,NH,8:31,08:04.0,8:04,4:14,2:47,1 mile,1/1/2019
660,M70-UP,74,M,Nashua,NH,8:07,08:04.1,8:05,4:15,1:56,1 mile,1/1/2019
661,M60-64,61,M,Bedford,NH,8:32,08:04.1,8:05,4:15,2:29,1 mile,1/1/2019
662,F13-19,16,F,Manchester,NH,8:25,08:04.3,8:05,4:15,3:01,1 mile,1/1/2019
663,F55-59,57,F,Haverhill,MA,8:33,08:04.4,8:05,4:15,2:10,1 mile,1/1/2019
664,M35-39,38,M,Candia,NH,8:39,08:04.5,8:05,4:15,3:29,1 mile,1/1/2019
665,F35-39,37,F,Manchester,NH,8:46,08:04.5,8:05,4:15,2:42,1 mile,1/1/2019
666,F13-19,19,F,Londonderry,NH,8:32,08:04.8,8:05,4:15,3:01,1 mile,1/1/2019
667,F45-49,46,F,Manchester,NH,8:21,08:05.0,8:05,4:15,1:31,1 mile,1/1/2019
668,F55-59,58,F,Londonderry,NH,8:32,08:05.1,8:06,4:16,2:11,1 mile,1/1/2019
669,M40-44,41,M,Litchfield,NH,8:58,08:05.2,8:06,4:16,3:51,1 mile,1/1/2019
670,M40-44,40,M,Manchester,NH,8:50,08:05.3,8:06,4:16,3:51,1 mile,1/1/2019
671,M6,6,M,Londonderry,NH,8:19,08:06.1,8:07,4:17,0:29,1 mile,1/1/2019
672,F40-44,42,F,Londonderry,NH,8:20,08:06.8,8:07,4:17,2:20,1 mile,1/1/2019
673,M12,12,M,Londonderry,NH,8:16,08:07.0,8:07,4:17,2:44,1 mile,1/1/2019
674,F30-34,31,F,New London,NH,8:23,08:07.3,8:08,4:18,2:55,1 mile,1/1/2019
675,F45-49,48,F,Windham,NH,8:37,08:07.8,8:08,4:18,1:34,1 mile,1/1/2019
676,F50-54,53,F,Dunstable,MA,8:36,08:07.9,8:08,4:18,2:19,1 mile,1/1/2019
677,M55-59,56,M,Raymond,NH,8:08,08:07.9,8:08,4:18,2:51,1 mile,1/1/2019
678,F35-39,38,F,Hooksett,NH,8:34,08:08.0,8:08,4:18,2:45,1 mile,1/1/2019
679,F35-39,37,F,Manchester,NH,8:42,08:08.2,8:09,4:19,2:46,1 mile,1/1/2019
680,M13-19,19,M,Salisbury,NH,8:40,08:08.5,8:09,4:19,4:03,1 mile,1/1/2019
681,F30-34,30,F,Salisbury,NH,8:40,08:08.6,8:09,4:19,2:56,1 mile,1/1/2019
682,M55-59,55,M,Pepperell,MA,8:45,08:08.7,8:09,4:19,2:52,1 mile,1/1/2019
683,M45-49,47,M,Merrimack,NH,8:40,08:08.8,8:09,4:19,3:41,1 mile,1/1/2019
684,M35-39,37,M,Salisbury,NH,8:40,08:08.9,8:09,4:19,3:33,1 mile,1/1/2019
685,F20-24,21,F,Henniker,NH,8:38,08:09.2,8:10,4:20,2:53,1 mile,1/1/2019
686,F45-49,47,F,Manchester,NH,8:22,08:09.5,8:10,4:20,1:36,1 mile,1/1/2019
687,M13-19,13,M,Chester,NH,8:56,08:09.8,8:10,4:20,4:04,1 mile,1/1/2019
688,M13-19,16,M,Chester,NH,8:56,08:09.9,8:10,4:20,4:04,1 mile,1/1/2019
689,F40-44,40,F,Goffstown,NH,8:38,08:10.3,8:11,4:21,2:24,1 mile,1/1/2019
690,F40-44,40,F,Goffstown,NH,8:35,08:10.6,8:11,4:21,2:24,1 mile,1/1/2019
691,F20-24,21,F,Woburn,MA,8:19,08:10.8,8:11,4:21,2:54,1 mile,1/1/2019
692,F55-59,55,F,Manchester,NH,8:37,08:10.8,8:11,4:21,2:16,1 mile,1/1/2019
693,F13-19,14,F,New Boston,NH,9:01,08:10.8,8:11,4:21,3:07,1 mile,1/1/2019
694,M40-44,43,M,Londonderry,NH,8:39,08:10.8,8:11,4:21,3:56,1 mile,1/1/2019
695,M10,10,M,Londonderry,NH,8:38,08:10.9,8:11,4:21,2:14,1 mile,1/1/2019
696,F55-59,56,F,Henniker,NH,8:42,08:11.3,8:12,4:22,2:17,1 mile,1/1/2019
697,M70-UP,73,M,Pelham,NH,8:42,08:11.5,8:12,4:22,2:03,1 mile,1/1/2019
698,F30-34,32,F,Penacook,NH,8:27,08:11.7,8:12,4:22,2:59,1 mile,1/1/2019
699,M13-19,14,M,Hopkinton,NH,8:53,08:12.5,8:13,4:23,4:07,1 mile,1/1/2019
700,M55-59,56,M,Salem,NH,8:37,08:12.6,8:13,4:23,2:56,1 mile,1/1/2019
701,F25-29,27,F,Nashua,NH,8:39,08:13.1,8:14,4:24,3:10,1 mile,1/1/2019
702,F25-29,29,F,Londonderry,NH,9:16,08:13.5,8:14,4:24,3:10,1 mile,1/1/2019
703,F40-44,40,F,Bedford,NH,8:52,08:13.8,8:14,4:24,2:27,1 mile,1/1/2019
704,F40-44,42,F,Goffstown,NH,8:51,08:13.8,8:14,4:24,2:27,1 mile,1/1/2019
705,M10,10,M,Bedford,NH,8:19,08:13.9,8:14,4:24,2:17,1 mile,1/1/2019
706,M25-29,27,M,Amherst,NH,9:08,08:14.1,8:15,4:25,3:54,1 mile,1/1/2019
707,F30-34,32,F,Milford,NH,8:48,08:14.2,8:15,4:25,3:02,1 mile,1/1/2019
708,F40-44,44,F,Methuen,MA,8:29,08:14.9,8:15,4:25,2:28,1 mile,1/1/2019
709,M70-UP,71,M,Auburn,NH,8:41,08:15.1,8:16,4:26,2:07,1 mile,1/1/2019
710,F45-49,48,F,Barrington,NH,9:00,08:15.6,8:16,4:26,1:42,1 mile,1/1/2019
711,F12,12,F,Hill,NH,8:58,08:15.7,8:16,4:26,2:15,1 mile,1/1/2019
712,F35-39,38,F,Manchester,NH,8:35,08:16.4,8:17,4:27,2:54,1 mile,1/1/2019
713,M55-59,56,M,Fremont,NH,8:28,08:16.9,8:17,4:27,3:00,1 mile,1/1/2019
714,F35-39,39,F,Hooksett,NH,8:36,08:17.3,8:18,4:28,2:55,1 mile,1/1/2019
715,F13-19,13,F,Londonderry,NH,8:45,08:17.5,8:18,4:28,3:14,1 mile,1/1/2019
716,F35-39,37,F,Sandown,NH,8:42,08:17.6,8:18,4:28,2:55,1 mile,1/1/2019
717,M40-44,41,M,Goffstown,NH,9:19,08:17.7,8:18,4:28,4:03,1 mile,1/1/2019
718,M13-19,16,M,Hooksett,NH,8:36,08:17.7,8:18,4:28,4:12,1 mile,1/1/2019
719,F55-59,58,F,Londonderry,NH,8:55,08:18.1,8:19,4:29,2:24,1 mile,1/1/2019
720,M35-39,36,M,New Boston,NH,9:00,08:18.4,8:19,4:29,3:43,1 mile,1/1/2019
721,F50-54,52,F,Bedford,NH,8:38,08:18.8,8:19,4:29,2:30,1 mile,1/1/2019
722,F12,12,F,Bedford,NH,8:42,08:18.8,8:19,4:29,2:18,1 mile,1/1/2019
723,F13-19,19,F,Chester,NH,8:54,08:18.9,8:19,4:29,3:15,1 mile,1/1/2019
724,F6,6,F,Nashua,NH,8:38,08:19.0,8:19,4:29,Winner,1 mile,1/1/2019
725,F40-44,40,F,Nashua,NH,8:38,08:19.1,8:20,4:30,2:33,1 mile,1/1/2019
726,M35-39,35,M,Epping,NH,8:44,08:19.2,8:20,4:30,3:44,1 mile,1/1/2019
727,F13-19,16,F,Pepperell,MA,8:56,08:19.5,8:20,4:30,3:16,1 mile,1/1/2019
728,M60-64,62,M,Londonderry,NH,9:11,08:19.7,8:20,4:30,2:44,1 mile,1/1/2019
729,M40-44,43,M,Lexington,NH,8:49,08:19.8,8:20,4:30,4:05,1 mile,1/1/2019
730,F25-29,26,F,Manchester,NH,8:45,08:20.1,8:21,4:31,3:17,1 mile,1/1/2019
731,M45-49,48,M,Windham,NH,8:21,08:20.2,8:21,4:31,3:53,1 mile,1/1/2019
732,F35-39,39,F,New Boston,NH,8:48,08:21.0,8:21,4:31,2:58,1 mile,1/1/2019
733,M6,6,M,Fremont,NH,8:31,08:21.0,8:21,4:31,0:43,1 mile,1/1/2019
734,F40-44,42,F,Derry,NH,8:47,08:21.4,8:22,4:32,2:35,1 mile,1/1/2019
735,F9,9,F,Manchester,NH,8:44,08:21.8,8:22,4:32,1:45,1 mile,1/1/2019
736,M7,7,M,Auburn,NH,8:54,08:22.2,8:23,4:33,0:59,1 mile,1/1/2019
737,F40-44,42,F,Nottingham,NH,9:22,08:22.4,8:23,4:33,2:36,1 mile,1/1/2019
738,F45-49,45,F,Alexandria,NH,9:15,08:22.5,8:23,4:33,1:49,1 mile,1/1/2019
739,M9,9,M,Auburn,NH,8:55,08:22.6,8:23,4:33,2:48,1 mile,1/1/2019
740,F55-59,57,F,Pittsfield,NH,8:46,08:22.8,8:23,4:33,2:28,1 mile,1/1/2019
741,F12,12,F,Manchester,NH,8:45,08:23.1,8:24,4:34,2:23,1 mile,1/1/2019
742,M11,11,M,Merrimack,NH,8:57,08:23.3,8:24,4:34,3:01,1 mile,1/1/2019
743,F30-34,32,F,Bow,NH,8:47,08:23.5,8:24,4:34,3:11,1 mile,1/1/2019
744,F40-44,43,F,Derry,NH,8:56,08:23.6,8:24,4:34,2:37,1 mile,1/1/2019
745,F9,9,F,Nashua,NH,8:52,08:23.6,8:24,4:34,1:47,1 mile,1/1/2019
746,F7,7,F,Bedford,NH,9:04,08:23.9,8:24,4:34,0:59,1 mile,1/1/2019
747,M55-59,55,M,Amherst,NH,8:59,08:24.0,8:24,4:34,3:07,1 mile,1/1/2019
748,F30-34,30,F,Boscawen,NH,9:05,08:24.0,8:24,4:34,3:11,1 mile,1/1/2019
749,F10,10,F,Goffstown,NH,8:52,08:24.1,8:25,4:35,1:42,1 mile,1/1/2019
750,M40-44,43,M,Bedford,NH,9:04,08:24.3,8:25,4:35,4:10,1 mile,1/1/2019
751,M30-34,32,M,Manchester,NH,8:56,08:24.4,8:25,4:35,4:11,1 mile,1/1/2019
752,M35-39,37,M,Londonderry,NH,9:13,08:24.6,8:25,4:35,3:49,1 mile,1/1/2019
753,F40-44,40,F,Londonderry,NH,8:36,08:24.6,8:25,4:35,2:38,1 mile,1/1/2019
754,M5,5,M,Londonderry,NH,9:13,08:24.7,8:25,4:35,Winner,1 mile,1/1/2019
755,M40-44,44,M,Webster,NH,8:58,08:25.0,8:25,4:35,4:10,1 mile,1/1/2019
756,F45-49,47,F,Manchester,NH,8:46,08:25.1,8:26,4:36,1:52,1 mile,1/1/2019
757,F10,10,F,Webster,NH,8:57,08:25.4,8:26,4:36,1:43,1 mile,1/1/2019
758,F9,9,F,Nashua,NH,8:55,08:25.7,8:26,4:36,1:49,1 mile,1/1/2019
759,M40-44,44,M,Manchester,NJ,9:14,08:26.0,8:26,4:36,4:11,1 mile,1/1/2019
760,F8,8,F,Manchester,NH,9:14,08:26.2,8:27,4:37,2:48,1 mile,1/1/2019
761,M13-19,13,M,New London,NH,8:59,08:26.2,8:27,4:37,4:21,1 mile,1/1/2019
762,F45-49,49,F,Manchester,NH,9:50,08:26.2,8:27,4:37,1:53,1 mile,1/1/2019
763,M25-29,28,M,Nottingham,NH,9:54,08:26.3,8:27,4:37,4:06,1 mile,1/1/2019
764,F60-64,62,F,Sanbornton,NH,8:40,08:26.3,8:27,4:37,1:13,1 mile,1/1/2019
765,F25-29,25,F,Manchester,NH,9:02,08:26.4,8:27,4:37,3:23,1 mile,1/1/2019
766,F40-44,42,F,Manchester,NH,9:14,08:26.4,8:27,4:37,2:40,1 mile,1/1/2019
767,F35-39,35,F,Manchester,NH,8:49,08:26.7,8:27,4:37,3:04,1 mile,1/1/2019
768,M65-69,65,M,Windham,NH,8:55,08:27.0,8:27,4:37,2:48,1 mile,1/1/2019
769,F25-29,29,F,Deering,NH,8:48,08:27.3,8:28,4:38,3:24,1 mile,1/1/2019
770,M45-49,48,M,Contoocook,NH,9:00,08:27.5,8:28,4:38,4:00,1 mile,1/1/2019
771,M45-49,47,M,Auburn,NH,9:01,08:28.3,8:29,4:39,4:01,1 mile,1/1/2019
772,M35-39,35,M,Manchester,NH,9:30,08:28.3,8:29,4:39,3:53,1 mile,1/1/2019
773,F50-54,50,F,Litchfield,NH,9:11,08:28.5,8:29,4:39,2:40,1 mile,1/1/2019
774,M50-54,52,M,Temple,NH,9:31,08:28.7,8:29,4:39,3:55,1 mile,1/1/2019
